latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
31.835,-83.056,306.8,1.4,1.2,2020-01-01,0320,Terra,MODIS,69,6.0NRT,277.6,18.9,N
36.356,-76.805,300.2,1.2,1.1,2020-01-01,0325,Terra,MODIS,20,6.0NRT,278.9,10.2,N
33.417,-110.862,321.5,1,1,2020-01-01,0920,Aqua,MODIS,100,6.0NRT,271.8,24.9,N
41.481,-90.829,310,1,1,2020-01-01,1700,Terra,MODIS,69,6.0NRT,276.5,13.8,D
36.237,-94.275,300.5,1,1,2020-01-01,1705,Terra,MODIS,38,6.0NRT,282.2,6,D
35.301,-96.411,306.6,1.2,1.1,2020-01-01,1705,Terra,MODIS,60,6.0NRT,280.8,13.4,D
33.483,-86.269,301.5,2.1,1.4,2020-01-01,1705,Terra,MODIS,0,6.0NRT,275.8,22.9,D
38.697,-90.128,311.7,1.1,1,2020-01-01,1705,Terra,MODIS,54,6.0NRT,282.3,14.1,D
30.802,-83.699,300.7,1.1,1,2020-01-01,1840,Aqua,MODIS,41,6.0NRT,288.4,4.6,D
30.638,-85.045,301.5,1.2,1.1,2020-01-01,1840,Aqua,MODIS,35,6.0NRT,284.9,5.6,D
30.635,-85.179,308.3,1.3,1.1,2020-01-01,1840,Aqua,MODIS,57,6.0NRT,289.1,10.2,D
30.633,-85.192,312.4,1.3,1.1,2020-01-01,1840,Aqua,MODIS,73,6.0NRT,289.3,14.7,D
30.634,-85.184,313.1,1.3,1.1,2020-01-01,1840,Aqua,MODIS,66,6.0NRT,289.6,14.8,D
30.644,-85.186,325.4,1.3,1.1,2020-01-01,1840,Aqua,MODIS,84,6.0NRT,290.5,30.6,D
30.864,-85.223,304.6,1.3,1.1,2020-01-01,1840,Aqua,MODIS,59,6.0NRT,289.1,8.4,D
31.275,-82.863,303.2,1,1,2020-01-01,1840,Aqua,MODIS,55,6.0NRT,287.7,6.1,D
31.663,-83.286,300.2,1,1,2020-01-01,1840,Aqua,MODIS,31,6.0NRT,288.6,3.3,D
31.464,-84.849,301.6,1.2,1.1,2020-01-01,1840,Aqua,MODIS,45,6.0NRT,289.3,5.7,D
32.063,-82.532,301.3,1,1,2020-01-01,1840,Aqua,MODIS,46,6.0NRT,288.2,4.9,D
31.502,-86.06,310.6,1.4,1.2,2020-01-01,1840,Aqua,MODIS,57,6.0NRT,278.7,15.7,D
31.994,-85.363,324.9,1.2,1.1,2020-01-01,1840,Aqua,MODIS,83,6.0NRT,285.8,32,D
31.991,-85.376,323,1.2,1.1,2020-01-01,1840,Aqua,MODIS,82,6.0NRT,284.9,29.2,D
31.994,-85.37,326.6,1.2,1.1,2020-01-01,1840,Aqua,MODIS,74,6.0NRT,286.1,32,D
32.343,-84.251,319.6,1.1,1,2020-01-01,1840,Aqua,MODIS,79,6.0NRT,290,20.9,D
